rank,city,country,population_2024,population_2025,avg_life_expectancy_2024,female_life_expectancy_2024,male_life_expectancy_2024,gdp_2023,gdp_2024,population_change,gdp_change,"GDP_per_capita (2024)"
1,Tokyo,Japan,37115000,37036200,84.80,87.90,81.80,4213170000000,4026210000000,-0.21,-4.44,108479.32
2,Delhi,India,33807400,34665600,72.20,73.90,70.70,3638490000000,3912690000000,2.54,7.54,115734.72
3,Shanghai,China,29867900,30482100,78.00,81.00,75.30,18270400000000,18743800000000,2.06,2.59,627556.67
4,Dhaka,Bangladesh,23935700,24652900,74.90,76.70,73.30,437415000000,450119000000,3.00,2.90,18805.34
6,"Sao Paulo",Brazil,22806700,22990000,76.00,79.20,73.00,2191130000000,2179410000000,0.80,-0.53,95560.08
7,"Mexico City",Mexico,22505300,22752400,75.30,78.00,72.40,1793800000000,1852720000000,1.10,3.28,82323.72
8,Beijing,China,22189100,22596500,78.00,81.00,75.30,18270400000000,18743800000000,1.84,2.59,844730.07
9,Mumbai,India,21673100,22089000,72.20,73.90,70.70,3638490000000,3912690000000,1.92,7.54,180532.09
10,Osaka,Japan,18967500,18921600,84.80,87.90,81.80,4213170000000,4026210000000,-0.24,-4.44,212268.88
11,Chongqing,China,17773900,18171200,78.00,81.00,75.30,18270400000000,18743800000000,2.24,2.59,1054568.78
12,Karachi,Pakistan,17648600,18076800,67.80,70.30,65.50,337886000000,373072000000,2.43,10.41,21138.90
14,Lagos,Nigeria,16536000,17156400,54.60,54.90,54.30,363846000000,187760000000,3.75,-48.40,11354.62
16,Kolkata,India,15570800,15845200,72.20,73.90,70.70,3638490000000,3912690000000,1.76,7.54,251283.81
17,"Buenos Aires",Argentina,15618300,15752300,77.50,80.00,75.00,646075000000,633267000000,0.86,-1.98,40546.47
18,Manila,Philippines,14942000,15230600,70.00,73.00,67.00,437056000000,461618000000,1.93,5.62,30893.99
19,Guangzhou,China,14590100,14878700,78.00,81.00,75.30,18270400000000,18743800000000,1.98,2.59,1284693.05
20,Lahore,Pakistan,14407100,14825800,67.80,70.30,65.50,337886000000,373072000000,2.91,10.41,25895.01
21,Tianjin,China,14470900,14704100,78.00,81.00,75.30,18270400000000,18743800000000,1.61,2.59,1295275.35
22,Bangalore,India,14008300,14395400,72.20,73.90,70.70,3638490000000,3912690000000,2.76,7.54,279312.26
