Country,GDP 2023,GDP 2024
Afghanistan,17152234637,
Africa Eastern and Southern,1.17691E+12,1.28768E+12
Africa Western and Central,8.14729E+11,6.70026E+11
Albania,23547180412,27177735528
Algeria,2.47626E+11,2.6362E+11
Andorra,3785067332,4039844390
Angola,84875162197,80396942242
Antigua and Barbuda,2005785185,2224814815
Arab World,3.606E+12,3.70477E+12
Argentina,6.46075E+11,6.33267E+11
Armenia,24085749592,25786585950
Aruba,3648573136,
Australia,1.72806E+12,1.75219E+12
Austria,5.11685E+11,5.21642E+11
Azerbaijan,72428470588,74315882353
"Bahamas, The",15271300000,15832800000
Bahrain,46192260638,47736702128
Bangladesh,4.37415E+11,4.50119E+11
Barbados,6720733200,7165000000
Belarus,72478760370,75961865472
Belgium,6.44655E+11,6.64564E+11
Belize,3066850000,3515783329
Benin,19673290996,21482643720
Bermuda,8579242000,8980200000
Bhutan,3019253885,
Bolivia,45135398003,49668296744
Bosnia and Herzegovina,27592361388,28343394203
Botswana,19411266967,19400774882
Brazil,2.19113E+12,2.17941E+12
Brunei Darussalam,15095084686,15463134387
Bulgaria,1.02397E+11,1.12212E+11
Burkina Faso,20324617845,23250214910
Burundi,2629391600,2162378759
Cabo Verde,2539203429,2767599017
Cambodia,42335646896,46352647035
Cameroon,49279410983,51326764685
Canada,2.17334E+12,2.24125E+12
Caribbean small states,79470143935,91570798876
Cayman Islands,7139428558,
Central African Republic,2555492086,2751544520
Central Europe and the Baltics,2.27395E+12,2.45556E+12
Chad,19107685021,20625711665
Channel Islands,12507927160,
Chile,3.35518E+11,3.30267E+11
China,1.82704E+13,1.87438E+13
Colombia,3.66292E+11,4.18542E+11
Comoros,1430523436,1546164420
"Congo, Dem. Rep.",67006756666,70749355652
"Congo, Rep.",15321055818,15719985776
Costa Rica,86497941439,95350423177
Cote d'Ivoire,79618056324,86538413923
Croatia,84393795502,92526176109
Curacao,3281419347,
Cyprus,33886930712,36333022329
Czechia,3.43207E+11,3.45037E+11
Denmark,4.07092E+11,4.29457E+11
Djibouti,3917150481,4086402719
Dominica,659311111.1,688881481.5
Dominican Republic,1.20456E+11,1.24282E+11
Early-demographic dividend,1.51778E+13,1.60912E+13
East Asia & Pacific,3.12794E+13,3.18827E+13
East Asia & Pacific (IDA & IBRD countries),2.16174E+13,2.22334E+13
East Asia & Pacific (excluding high income),2.16441E+13,2.22609E+13
Ecuador,1.21147E+11,1.24676E+11
"Egypt, Arab Rep.",3.95926E+11,3.8906E+11
El Salvador,33853940000,35364960000
Equatorial Guinea,12337550584,12765777677
Estonia,41291245222,42764929169
Eswatini,4604172127,4891883720
Euro area,1.57872E+13,1.64061E+13
Europe & Central Asia,2.76172E+13,2.91469E+13
Europe & Central Asia (IDA & IBRD countries),5.55626E+12,6.09788E+12
Europe & Central Asia (excluding high income),2.13474E+12,2.42184E+12
European Union,1.86027E+13,1.94233E+13
Faroe Islands,3907323961,
Fiji,5442046553,5840564073
Finland,2.94951E+11,2.99836E+11
Fragile and conflict affected situations,1.88648E+12,1.83182E+12
France,3.05183E+12,3.16208E+12
French Polynesia,6402221222,
Gabon,20055720403,20867044936
"Gambia, The",2396111021,2507519958
Georgia,30777833601,33776141251
Germany,4.5257E+12,4.65993E+12
Ghana,80547146878,82825288889
Greece,2.43498E+11,2.57145E+11
Greenland,3326544174,
Grenada,1323985600,1391435993
Guatemala,1.04368E+11,1.132E+11
Guinea,22407615556,25334307879
Guinea-Bissau,2077816135,2119865935
Guyana,16918503597,24835899826
Haiti,19850585722,25224154991
Heavily indebted poor countries (HIPC),1.07616E+12,1.19782E+12
High income,6.86188E+13,7.1523E+13
Honduras,34355805528,37093565854
"Hong Kong SAR, China",3.81066E+11,4.07107E+11
Hungary,2.14023E+11,2.22905E+11
IBRD only,3.94458E+13,4.11022E+13
IDA & IBRD total,4.22664E+13,4.39933E+13
IDA blend,1.14935E+12,1.06E+12
IDA only,1.67378E+12,1.8341E+12
IDA total,2.82314E+12,2.89411E+12
Iceland,31452223862,33462807983
India,3.63849E+12,3.91269E+12
Indonesia,1.37117E+12,1.3963E+12
"Iran, Islamic Rep.",4.04626E+11,4.36906E+11
Iraq,2.68881E+11,2.79641E+11
Ireland,5.51395E+11,5.77389E+11
Israel,5.12185E+11,5.4038E+11
Italy,2.30461E+12,2.37277E+12
Jamaica,19423355367,19930288337
Japan,4.21317E+12,4.02621E+12
Jordan,51088476338,53352289577
Kazakhstan,2.6184E+11,2.88406E+11
Kenya,1.08039E+11,1.24499E+11
Kiribati,288610732.2,307862546.8
"Korea, Rep.",1.71279E+12,
Kosovo,10468220307,11148602233
Kuwait,1.65384E+11,1.60227E+11
Kyrgyz Republic,15180842369,17478259659
Lao PDR,15843155731,16502933121
Late-demographic dividend,2.89032E+13,2.99107E+13
Latin America & Caribbean,7.1278E+12,7.31363E+12
Latin America & Caribbean (excluding high income),5.99736E+12,6.14637E+12
Latin America & the Caribbean (IDA & IBRD countries),6.805E+12,6.97749E+12
Latvia,42572151720,43520773851
Least developed countries: UN classification,1.45594E+12,1.57417E+12
Lebanon,20078620357,
Lesotho,2117962430,2271541846
Liberia,4390000000,4750000000
Libya,45096462972,46636278902
Liechtenstein,8287748667,
Lithuania,79789877416,84869215513
Low & middle income,3.78244E+13,3.92169E+13
Low income,4.23723E+11,4.66542E+11
Lower middle income,7.53059E+12,7.85749E+12
Luxembourg,87574021092,93197329012
"Macao SAR, China",45803067940,50183212761
Madagascar,15869945478,17420814801
Malawi,12712150082,11008925323
Malaysia,3.99705E+11,4.21972E+11
Maldives,6590894302,6975146349
Mali,24621545565,26588067731
Malta,22210718401,24322006608
Marshall Islands,259300000,280357844.2
Mauritania,10651709314,10766731874
Mauritius,14101195733,14952555415
Mexico,1.7938E+12,1.85272E+12
"Micronesia, Fed. Sts.",443916782.3,471425099.5
"Middle East, North Africa, Afghanistan & Pakistan",4.83711E+12,5.02577E+12
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2.02168E+12,2.13986E+12
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2.03953E+12,2.15357E+12
Middle income,3.73974E+13,3.87483E+13
Moldova,16711906746,18200340854
Monaco,9995350547,
Mongolia,20325121394,23586055802
Montenegro,7530593375,8069536126
Morocco,1.44417E+11,1.54431E+11
Mozambique,20954220984,22416650343
Myanmar,66757619000,74079772652
Namibia,12408271448,13372354269
Nauru,151455967.7,160350639.5
Nepal,41047772331,42914268287
Netherlands,1.15436E+12,1.22754E+12
New Zealand,2.55195E+11,2.60236E+11
Nicaragua,17805842284,19693982968
Niger,16698786973,19537639288
Nigeria,3.63846E+11,1.8776E+11
North America,2.99026E+13,3.14351E+13
North Macedonia,15763604288,16685236492
Norway,4.8295E+11,4.83727E+11
OECD members,6.48035E+13,6.76871E+13
Oman,1.05896E+11,1.06943E+11
Other small states,1.94578E+11,2.0579E+11
Pacific island small states,11168877227,11977251414
Pakistan,3.37886E+11,3.73072E+11
Palau,281849100,
Panama,83318176900,86260400000
Papua New Guinea,30816367067,32538480024
Paraguay,43118053175,44458118400
Peru,2.66959E+11,2.89222E+11
Philippines,4.37056E+11,4.61618E+11
Poland,8.12451E+11,9.14696E+11
Portugal,2.89697E+11,3.08683E+11
Post-demographic dividend,6.05388E+13,6.30406E+13
Pre-demographic dividend,1.52712E+12,1.4269E+12
Puerto Rico (US),1.18375E+11,1.25842E+11
Qatar,2.13003E+11,2.17983E+11
Romania,3.50776E+11,3.82768E+11
Russian Federation,2.07151E+12,2.17384E+12
Rwanda,14331722700,14251642231
Samoa,938189443.8,1068025244
Sao Tome and Principe,678976264.8,764274042.7
Saudi Arabia,1.21858E+12,1.23753E+12
Senegal,30696331296,32267254425
Serbia,81342660752,89083506277
Seychelles,2187379755,2167239562
Sierra Leone,6411787856,7547843281
Singapore,5.0544E+11,5.47387E+11
Sint Maarten (Dutch part),1627776949,1735210228
Slovak Republic,1.33897E+11,1.41776E+11
Slovenia,69148468417,72485008929
Small states,2.8519E+11,3.09362E+11
Solomon Islands,1660896531,1760767447
Somalia,10968517090,12108515110
South Africa,3.80699E+11,4.00261E+11
South Asia,4.21028E+12,4.51492E+12
South Asia (IDA & IBRD),4.21028E+12,4.51492E+12
Spain,1.62009E+12,1.72275E+12
Sri Lanka,83716142582,98963185510
